F A 8 2 C 6 5 B G 4 1 7 E 3 D 9
6 C 4 G A 9 1 8 F 3 E D 7 5 2 B
5 B 3 D G E 4 7 C 9 2 8 6 1 F A
9 7 1 E D F 3 2 5 B A 6 4 G C 8
7 1 G 9 6 4 B A E F D 2 5 8 3 C
B F E 3 5 C G 9 7 1 8 4 A D 6 2
A 2 6 8 7 1 D E 3 C 5 B F 4 9 G
D 4 C 5 F 2 8 3 A G 6 9 1 E B 7
C E 5 F 9 B 6 1 2 8 7 G 3 A 4 D
1 3 7 B 2 A C F 9 D 4 E 8 6 G 5
4 D 2 A 8 5 E G 1 6 C 3 9 B 7 F
G 8 9 6 4 3 7 D B A F 5 2 C E 1
8 G A 4 E 7 2 6 D 5 9 C B F 1 3
E 9 B 1 3 D F 4 8 7 G A C 2 5 6
3 6 D C 1 8 9 5 4 2 B F G 7 A E
2 5 F 7 B G A C 6 E 3 1 D 9 8 4
